Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100,4,20,0.032022799398298066,3.6784538583163254E-4,ms/op,30.61144652136908,0.21378554873520728,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100,8,20,0.03274912810802796,2.3674520012661356E-4,ms/op,30.42021814788153,0.2811188138215736,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100,19,20,0.03482150878191921,3.47650225869068E-5,ms/op,28.64919469737792,0.18638083242525738,ops/ms
ForkJoinBenchmark.bench,100,19,20,0.03721362613600415,1.52093978681858E-4,ms/op,27.12623398351186,0.10378425224342337,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100,4,20,0.03826411802489983,5.095792472620019E-4,ms/op,26.51042228201116,0.30429772870149374,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100,8,20,0.0383156201042225,1.40304305360482E-4,ms/op,26.268371981539104,0.11774019109795714,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100,16,20,0.04106933593753513,3.3199298267402714E-4,ms/op,24.431040834265676,0.23384959803519523,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100,16,20,0.0414784564877277,1.425238554389994E-4,ms/op,23.896561831825785,0.07633911274564231,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100,32,20,0.04199036655197233,1.0785031260479549E-4,ms/op,24.104616071144434,0.03633318888829417,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100,32,20,0.042532321806119086,8.510101851603172E-4,ms/op,23.838362248886437,0.2345742412590846,ops/ms
ClassicStreamBenchmark.bench_sequential,100,1,20,0.056790510533281394,1.406019627781729E-4,ms/op,17.86085219703279,0.04375741577551788,ops/ms
