Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100,4,AverageTime,20,0.0325915150812148,3.222574645021899E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100,8,AverageTime,20,0.03274318183243627,1.9108372668042836E-4,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 100,19,AverageTime,20,0.034628458094793,3.712398080748289E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100,16,AverageTime,20,0.04079449388395108,3.8777215149988294E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100,32,AverageTime,20,0.04156569236512913,4.7102134568693086E-5,ms/op
ClassicStreamBenchmark.bench_sequential, 100,1,AverageTime,20,0.055894878740494036,2.3499230746444478E-4,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,19,AverageTime,20,0.127951259172531,1.6769549471043713E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,AverageTime,20,0.12936246420553524,2.707464036102536E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000,32,AverageTime,20,0.14224815662969476,1.7651152739539224E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,AverageTime,20,0.1443626869966633,8.186930404828223E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000,4,AverageTime,20,0.18920510031822907,6.63202114602372E-4,ms/op
ClassicStreamBenchmark.bench_sequential, 1000,1,AverageTime,20,0.551939671653328,0.0025314679572373843,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 10000,19,AverageTime,20,0.9973468136600457,0.001596407180602127,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 10000,32,AverageTime,20,1.027371309137369,0.0017813312178317398,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 10000,16,AverageTime,20,1.0432827334725085,0.0036466771266264308,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 10000,8,AverageTime,20,1.2909803017237005,0.008495664595565895,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 10000,4,AverageTime,20,1.7544460183347197,0.024405002901731393,ms/op
ClassicStreamBenchmark.bench_sequential, 10000,1,AverageTime,20,5.384096350303663,0.019881639781585612,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100000,16,AverageTime,20,9.209395042008849,0.010204106063670873,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 100000,19,AverageTime,20,9.411342133841774,0.008323448453088484,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100000,32,AverageTime,20,9.72724371268688,0.012528214365687003,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100000,8,AverageTime,20,11.774881556473735,0.013384480603498953,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100000,4,AverageTime,20,16.512789725624454,0.04179369606878242,ms/op
ClassicStreamBenchmark.bench_sequential, 100000,1,AverageTime,20,58.3745710661801,0.2712927962531487,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000000,16,AverageTime,20,87.65399976951565,0.11019702100412772,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000000,32,AverageTime,20,91.78338942120934,0.08871811872995328,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 1000000,19,AverageTime,20,92.49411612299949,0.15108788509581694,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000000,8,AverageTime,20,112.7199051258427,0.08389016004399083,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000000,4,AverageTime,20,167.62029487259562,0.6139656462667098,ms/op
ClassicStreamBenchmark.bench_sequential, 1000000,1,AverageTime,20,581.4552360083333,2.503620097989176,ms/op
