Label,Input Size,Threads,Cnt,AvgTimeScore,AvgTimeMeanError,AvgUnits,ThroughputScore,ThroughputMeanError,ThroughputUnits
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4,100,4,20,0.031024928542735586,2.6947948487288136E-4,ms/op,31.6443337793521,0.31752936411393323,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8,100,8,20,0.03216334232912037,2.7326222833948607E-4,ms/op,30.907952980741232,0.17768924062624614,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream,100,19,20,0.034880851597332035,3.282897539422237E-5,ms/op,28.34197186337144,0.5722826682520322,ops/ms
ForkJoinBenchmark.bench,100,19,20,0.03670371910774033,1.14374377030462E-4,ms/op,26.67803137917769,0.08352718231141401,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8,100,8,20,0.037459746159252974,1.5812898065544368E-4,ms/op,26.980532510515303,0.14521775118062163,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4,100,4,20,0.03792875165283675,4.2194861916378085E-4,ms/op,26.579306311172484,0.3832120460224847,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16,100,16,20,0.03979274039366634,2.88210940991462E-4,ms/op,24.977721429767794,0.2287252505405028,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16,100,16,20,0.04118726883463701,1.7829739180782886E-4,ms/op,24.054332320210953,0.10616228432852932,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32,100,32,20,0.041345071000255446,1.0604847132517501E-4,ms/op,24.268763216012708,0.07440692522073321,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32,100,32,20,0.04171838959327351,5.390076057197613E-5,ms/op,24.458019767868375,0.03574760652531279,ops/ms
ClassicStreamBenchmark.bench_sequential,100,1,20,0.05586875618902132,1.2039455101067554E-4,ms/op,17.723737204477693,0.03645184179484923,ops/ms
