Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 1000000,1,Throughput,20,9.086112246934213E-4,8.955391223019539E-7,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000000,4,Throughput,20,0.002882934962608931,4.763561213812385E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000000,16,Throughput,20,0.0030712888255173517,4.1738364286151934E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000000,32,Throughput,20,0.00309450149311527,1.415180089569906E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000000,7,Throughput,20,0.0031893334895788153,8.442284551679286E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000000,8,Throughput,20,0.0032171768358281658,8.437469898882663E-6,ops/ms
ClassicStreamBenchmark.bench_sequential, 100000,1,Throughput,20,0.008903683311493,3.052709787632108E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100000,16,Throughput,20,0.029465733274688155,2.6056487020089133E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100000,4,Throughput,20,0.029622598273741824,2.7192637059268314E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100000,32,Throughput,20,0.030308814214660168,4.2224243264060765E-5,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100000,7,Throughput,20,0.03061655400610667,5.95683565747042E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100000,8,Throughput,20,0.031731824890625905,5.306764005616732E-5,ops/ms
ClassicStreamBenchmark.bench_sequential, 10000,1,Throughput,20,0.08678355063578187,1.4491322023933996E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 10000,32,Throughput,20,0.26791935298204117,5.008451637822723E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 10000,4,Throughput,20,0.2702078211353272,0.0031184978545544624,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 10000,8,Throughput,20,0.27448568844552057,7.36100153174071E-4,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 10000,16,Throughput,20,0.2796004327021907,4.453975874202833E-4,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 10000,7,Throughput,20,0.29437486349415093,6.028596094044271E-4,ops/ms
ClassicStreamBenchmark.bench_sequential, 1000,1,Throughput,20,0.8961176820833991,0.0012574002990471133,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000,32,Throughput,20,1.972138768080698,0.017444014398897385,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000,4,Throughput,20,2.202350978528204,0.03265322401220626,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,Throughput,20,2.320510952262742,0.006237194592072936,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,Throughput,20,2.378302904728085,0.0027654216146892033,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,7,Throughput,20,2.6061828454313276,0.008979103975123618,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100,32,Throughput,20,4.294028031816438,0.11440212746515253,ops/ms
ClassicStreamBenchmark.bench_sequential, 100,1,Throughput,20,9.010026076201928,0.04630822566373637,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100,16,Throughput,20,11.820771931518525,0.03131339037603778,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100,4,Throughput,20,12.166391611466937,0.16863742353753408,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100,8,Throughput,20,12.906838814424551,0.015189684138480519,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 100,7,Throughput,20,15.083467105493423,0.06661234432141779,ops/ms
