Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_defaultParallelStream, 100,7,AverageTime,20,0.06714755224892802,3.713113413851347E-5,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 100,8,AverageTime,20,0.07765205763939463,6.324883570967828E-4,ms/op
ForkJoinBenchmark.bench, 100,7,AverageTime,20,0.08016136334013899,4.303252878972784E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100,4,AverageTime,20,0.08069969205678827,0.0012706380956090284,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 100,16,AverageTime,20,0.08320064895419413,1.7894924501794574E-4,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_8, 100,8,AverageTime,20,0.0898458006742372,9.385148027419144E-5,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_16, 100,16,AverageTime,20,0.09354462533403499,6.378574903135791E-5,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_32, 100,32,AverageTime,20,0.09367492251174572,4.5094090401600253E-5,ms/op
ForkJoinBenchmark.bench_customForkJoinPool_4, 100,4,AverageTime,20,0.10947533070773985,9.829958470983008E-4,ms/op
ClassicStreamBenchmark.bench_sequential, 100,1,AverageTime,20,0.11426543023885467,1.785997732308179E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 100,32,AverageTime,20,0.2371652408009169,0.00422623915031607,ms/op
ClassicStreamBenchmark.bench_defaultParallelStream, 1000,7,AverageTime,20,0.3821552416824739,0.0030738069192941912,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000,8,AverageTime,20,0.4110207838399435,5.783719751777604E-4,ms/op
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000,16,AverageTime,20,0.42497662133579234,0.0012767064752619403,ms/op
