Label,Input Size,Threads,Mode,Cnt,Score,Score Mean Error,Units
ClassicStreamBenchmark.bench_sequential, 1000000,1,Throughput,20,8.974404943599554E-4,7.934124677341068E-7,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 1000000,4,Throughput,20,0.002577984984031993,1.861535433213379E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 1000000,8,Throughput,20,0.002777960380956841,3.6020594781530656E-6,ops/ms
ForkJoinBenchmark.bench, 1000000,7,Throughput,20,0.0027918223585540725,4.047407586131831E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_16, 1000000,16,Throughput,20,0.002819021202341266,2.606197467890607E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 1000000,4,Throughput,20,0.0028746946716654747,3.752979020391835E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 1000000,32,Throughput,20,0.0028804888598113567,3.411766269819921E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_16, 1000000,16,Throughput,20,0.0030531144941770036,7.872329419568194E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_32, 1000000,32,Throughput,20,0.0030591916234501844,7.935407449045465E-6,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_8, 1000000,8,Throughput,20,0.003088117701579126,9.004489846985501E-6,ops/ms
ClassicStreamBenchmark.bench_defaultParallelStream, 1000000,7,Throughput,20,0.003187846983410296,8.7879025131383E-6,ops/ms
ClassicStreamBenchmark.bench_sequential, 100000,1,Throughput,20,0.008957985665734778,7.308457481647965E-6,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_4, 100000,4,Throughput,20,0.02447592562828875,1.740387099785759E-4,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_32, 100000,32,Throughput,20,0.02754704693071549,3.591025361392891E-5,ops/ms
ForkJoinBenchmark.bench_customForkJoinPool_8, 100000,8,Throughput,20,0.027843427707254242,3.190898176627295E-5,ops/ms
ForkJoinBenchmark.bench, 100000,7,Throughput,20,0.027846717330277004,3.137250876900014E-5,ops/ms
ClassicStreamBenchmark.bench_parallelStreamWithCustomForkJoinPool_4, 100000,4,Throughput,20,0.028194403148774423,2.1218484951479106E-4,ops/ms
